Location,Country_code,Diseases,Diseases Deaths
Ghana,GHA,Chronic obstructive pulmonary disease,16517
Haiti,HTI,Lower respiratory infections,16530
Poland,POL,"Trachea, bronchus, lung cancers",16617
Morocco,MAR,Lower respiratory infections,16632
Saudi Arabia,SAU,Chronic obstructive pulmonary disease,16697
Liberia,LBR,Lower respiratory infections,16697
Serbia,SRB,Stroke,16750
Lithuania,LTU,Ischaemic heart disease,16868
Spain,ESP,Chronic obstructive pulmonary disease,16948
Libya,LBY,Ischaemic heart disease,16965
Antigua and Barbuda,ATG,Lower respiratory infections,16.08
Seychelles,SYC,Chronic obstructive pulmonary disease,16.08
Barbados,BRB,"Trachea, bronchus, lung cancers",16.21
Saint Lucia,LCA,"Trachea, bronchus, lung cancers",16.32
Samoa,WSM,"Trachea, bronchus, lung cancers",16.63
Morocco,MAR,Ischaemic heart disease,160388
Vanuatu,VUT,Ischaemic heart disease,1603
Bahrain,BHR,Ischaemic heart disease,1606
Israel,ISR,Lower respiratory infections,1606
Estonia,EST,Chronic obstructive pulmonary disease,161.1
Lao People's Democratic Republic,LAO,Chronic obstructive pulmonary disease,1613
Brunei Darussalam,BRN,Stroke,162.9
Somalia,SOM,Chronic obstructive pulmonary disease,1620
Uruguay,URY,Lower respiratory infections,1626
Lebanon,LBN,Chronic obstructive pulmonary disease,1628
Switzerland,CHE,Stroke,1628
Ethiopia,ETH,Ischaemic heart disease,163454
Jamaica,JAM,Chronic obstructive pulmonary disease,163.5
Switzerland,CHE,"Trachea, bronchus, lung cancers",1636
South Sudan,SSD,Chronic obstructive pulmonary disease,1639
Slovakia,SVK,Chronic obstructive pulmonary disease,1646
Uruguay,URY,Stroke,1647
Kuwait,KWT,Ischaemic heart disease,1648
Ireland,IRL,Chronic obstructive pulmonary disease,1649
Iran (Islamic Republic of),IRN,Ischaemic heart disease,165557
Saint Vincent and the Grenadines,VCT,Stroke,165.1
Seychelles,SYC,Stroke,165.6
Democratic Republic of the Congo,COD,"Trachea, bronchus, lung cancers",1656
Costa Rica,CRI,Lower respiratory infections,1659
Bangladesh,BGD,Lower respiratory infections,166892
Solomon Islands,SLB,Chronic obstructive pulmonary disease,166.4
Lithuania,LTU,Chronic obstructive pulmonary disease,166.4
Maldives,MDV,Stroke,166.7
United Republic of Tanzania,TZA,"Trachea, bronchus, lung cancers",166.9
United Arab Emirates,ARE,Lower respiratory infections,1663
Fiji,FJI,Chronic obstructive pulmonary disease,167.4
Costa Rica,CRI,"Trachea, bronchus, lung cancers",167.5
Micronesia (Federated States of),FSM,Lower respiratory infections,167.8
Belarus,BLR,Ischaemic heart disease,168508
Democratic People's Republic of Korea,PRK,Ischaemic heart disease,168560
Syrian Arab Republic,SYR,"Trachea, bronchus, lung cancers",1680
Gambia,GMB,Stroke,1683
Panama,PAN,Stroke,1688
United States of America,USA,Chronic obstructive pulmonary disease,169463
Afghanistan,AFG,Ischaemic heart disease,169683
Ecuador,ECU,"Trachea, bronchus, lung cancers",1694
Republic of Moldova,MDA,"Trachea, bronchus, lung cancers",1695
Norway,NOR,Chronic obstructive pulmonary disease,1697
Cuba,CUB,Lower respiratory infections,17012
Argentina,ARG,Stroke,17088
Germany,DEU,"Trachea, bronchus, lung cancers",17221
Malaysia,MYS,Chronic obstructive pulmonary disease,17394
Republic of Korea,KOR,Chronic obstructive pulmonary disease,17394
Cambodia,KHM,Stroke,17401
Serbia,SRB,Stroke,17416
Guatemala,GTM,Ischaemic heart disease,17442
Turkmenistan,TKM,Stroke,17460
Papua New Guinea,PNG,Ischaemic heart disease,17468
Azerbaijan,AZE,Stroke,17507
Cuba,CUB,Stroke,17569
Kazakhstan,KAZ,Lower respiratory infections,17726
Croatia,HRV,Ischaemic heart disease,17945
Guyana,GUY,"Trachea, bronchus, lung cancers",17.08
Iceland,ISL,Lower respiratory infections,17.3
Iceland,ISL,"Trachea, bronchus, lung cancers",17.69
South Sudan,SSD,"Trachea, bronchus, lung cancers",170.2
Benin,BEN,"Trachea, bronchus, lung cancers",170.6
Ireland,IRL,Stroke,1705
Albania,ALB,"Trachea, bronchus, lung cancers",1705
Guinea,GIN,Lower respiratory infections,171787
Malta,MLT,Chronic obstructive pulmonary disease,171.8
Qatar,QAT,Ischaemic heart disease,1710
Portugal,PRT,Chronic obstructive pulmonary disease,1716
Hungary,HUN,Lower respiratory infections,1716
United Kingdom of Great Britain and Northern Ireland,GBR,Ischaemic heart disease,172431
Cyprus,CYP,Chronic obstructive pulmonary disease,172.6
Slovenia,SVN,"Trachea, bronchus, lung cancers",1724
Sweden,SWE,Stroke,1726
Namibia,"NAM",Ischaemic heart disease,1729
Niger,NER,Lower respiratory infections,173220
Malta,MLT,"Trachea, bronchus, lung cancers",173.3
Mongolia,MNG,"Trachea, bronchus, lung cancers",1732
Sierra Leone,SLE,Chronic obstructive pulmonary disease,1737
Lebanon,LBN,Lower respiratory infections,1739
Democratic Republic of the Congo,COD,Ischaemic heart disease,174062
South Africa,ZAF,Ischaemic heart disease,174766
Seychelles,SYC,Lower respiratory infections,174.1
Kiribati,KIR,Stroke,174.4
Equatorial Guinea,GNQ,Chronic obstructive pulmonary disease,174.9
South Africa,ZAF,Lower respiratory infections,175916
Sweden,SWE,Stroke,1751
Guinea-Bissau,GNB,Stroke,1755
Malaysia,MYS,Ischaemic heart disease,176810
Georgia,GEO,Chronic obstructive pulmonary disease,1771
Guinea-Bissau,GNB,Stroke,1771
Trinidad and Tobago,TTO,Ischaemic heart disease,1773
Botswana,BWA,Stroke,1774
Democratic Republic of the Congo,COD,"Trachea, bronchus, lung cancers",1776
Gambia,GMB,Stroke,1776
Gabon,GAB,Ischaemic heart disease,1778
Egypt,EGY,Lower respiratory infections,178490
Paraguay,PRY,"Trachea, bronchus, lung cancers",178.6
Kyrgyzstan,KGZ,Chronic obstructive pulmonary disease,1780
El Salvador,SLV,Stroke,1785
Eritrea,ERI,"Trachea, bronchus, lung cancers",179.5
Bahamas,BHS,Stroke,179.8
El Salvador,SLV,Stroke,1790
Uganda,UGA,"Trachea, bronchus, lung cancers",1796
Poland,POL,Chronic obstructive pulmonary disease,18078
Chad,TCD,Ischaemic heart disease,18094
Ukraine,UKR,Chronic obstructive pulmonary disease,18131
Lao People's Democratic Republic,LAO,Stroke,18132
Greece,GRC,Stroke,18181
Zimbabwe,ZWE,Ischaemic heart disease,18195
Bosnia and Herzegovina,BIH,Stroke,18213
Senegal,SEN,Ischaemic heart disease,18223
Philippines,PHL,"Trachea, bronchus, lung cancers",18227
Morocco,MAR,Lower respiratory infections,18229
Azerbaijan,AZE,Stroke,18232
Sri Lanka,LKA,Stroke,18289
Argentina,ARG,Chronic obstructive pulmonary disease,18294
South Africa,ZAF,"Trachea, bronchus, lung cancers",18362
Mali,MLI,Ischaemic heart disease,18380
United Kingdom of Great Britain and Northern Ireland,GBR,Chronic obstructive pulmonary disease,18380
The former Yugoslav Republic of Macedonia,MKD,Ischaemic heart disease,18382
France,FRA,Stroke,18396
Uganda,UGA,Ischaemic heart disease,18564
Nicaragua,NIC,Ischaemic heart disease,18601
Spain,ESP,"Trachea, bronchus, lung cancers",18616
Lebanon,LBN,Ischaemic heart disease,18648
Bosnia and Herzegovina,BIH,Ischaemic heart disease,18677
Bulgaria,BGR,Stroke,18751
Guinea,GIN,Ischaemic heart disease,18794
France,FRA,Chronic obstructive pulmonary disease,18803
Kyrgyzstan,KGZ,Ischaemic heart disease,18843
Kenya,KEN,Stroke,18869
United Kingdom of Great Britain and Northern Ireland,GBR,Stroke,18898
Niger,NER,Stroke,18942
Venezuela (Bolivarian Republic of),VEN,Lower respiratory infections,18998
Bahamas,BHS,Chronic obstructive pulmonary disease,18.18
Saint Lucia,LCA,"Trachea, bronchus, lung cancers",18.2
Micronesia (Federated States of),FSM,"Trachea, bronchus, lung cancers",18.4
Chad,TCD,Lower respiratory infections,180407
Niger,NER,"Trachea, bronchus, lung cancers",180.4
Mauritius,MUS,Stroke,1805
Bosnia and Herzegovina,BIH,Lower respiratory infections,1809
Myanmar,MMR,Ischaemic heart disease,181438
Montenegro,MNE,"Trachea, bronchus, lung cancers",181.1
Montenegro,MNE,Lower respiratory infections,181.6
Cyprus,CYP,Lower respiratory infections,181.9
Paraguay,PRY,Chronic obstructive pulmonary disease,1815
Bangladesh,BGD,Chronic obstructive pulmonary disease,183938
Montenegro,MNE,Chronic obstructive pulmonary disease,183.1
Tunisia,TUN,Chronic obstructive pulmonary disease,1831
Philippines,PHL,Lower respiratory infections,184540
Tonga,TON,Ischaemic heart disease,184.3
Uruguay,URY,Chronic obstructive pulmonary disease,1840
Congo,COG,Chronic obstructive pulmonary disease,1841
Côte d’Ivoire,CIV,Lower respiratory infections,185063
Cameroon,CMR,Lower respiratory infections,185539
Russian Federation,RUS,Stroke,185596
Cabo Verde,CPV,Chronic obstructive pulmonary disease,185.3
Malta,MLT,Stroke,185.8
Iceland,ISL,Ischaemic heart disease,186.9
Israel,ISR,Chronic obstructive pulmonary disease,1865
Guyana,GUY,Ischaemic heart disease,1866
Lao People's Democratic Republic,LAO,"Trachea, bronchus, lung cancers",1868
Nigeria,NGA,Ischaemic heart disease,187516
Guyana,GUY,Stroke,1872
Botswana,BWA,Stroke,1875
Libya,LBY,"Trachea, bronchus, lung cancers",1878
Burundi,BDI,Chronic obstructive pulmonary disease,1884
Bangladesh,BGD,Lower respiratory infections,189943
New Zealand,NZL,Chronic obstructive pulmonary disease,1891
Singapore,SGP,Stroke,1891
Lesotho,LSO,Chronic obstructive pulmonary disease,1896
Colombia,COL,Lower respiratory infections,19000
Mauritania,MRT,Lower respiratory infections,19034
Slovakia,SVK,Ischaemic heart disease,19077
Bolivia (Plurinational State of),BOL,Ischaemic heart disease,19159
Romania,ROU,Lower respiratory infections,19196
Oman,OMN,Ischaemic heart disease,19253
Uganda,UGA,Stroke,19270
Bolivia (Plurinational State of),BOL,Lower respiratory infections,19353
Democratic People's Republic of Korea,PRK,"Trachea, bronchus, lung cancers",19434
United Republic of Tanzania,TZA,Ischaemic heart disease,19475
Bolivia (Plurinational State of),BOL,Stroke,19476
Bolivia (Plurinational State of),BOL,Lower respiratory infections,19512
Ukraine,UKR,"Trachea, bronchus, lung cancers",19639
Cambodia,KHM,Ischaemic heart disease,19641
Germany,DEU,Lower respiratory infections,19692
Rwanda,RWA,Ischaemic heart disease,19731
Cambodia,KHM,Stroke,19738
Democratic Republic of the Congo,COD,Chronic obstructive pulmonary disease,19751
Chile,CHL,Stroke,19758
Hungary,HUN,Stroke,19772
Rwanda,RWA,Stroke,19793
United Kingdom of Great Britain and Northern Ireland,GBR,Chronic obstructive pulmonary disease,19822
Switzerland,CHE,Ischaemic heart disease,19845
Niger,NER,Stroke,19855
Brazil,BRA,"Trachea, bronchus, lung cancers",19870
Belgium,BEL,Ischaemic heart disease,19902
France,FRA,Stroke,19969
Republic of Moldova,MDA,Ischaemic heart disease,19977
Bulgaria,BGR,Stroke,19984
Tonga,TON,Chronic obstructive pulmonary disease,19.06
Solomon Islands,SLB,"Trachea, bronchus, lung cancers",19.48
Brunei Darussalam,BRN,"Trachea, bronchus, lung cancers",19.48
Antigua and Barbuda,ATG,Lower respiratory infections,19.59
Brunei Darussalam,BRN,Chronic obstructive pulmonary disease,19.67
Iceland,ISL,Lower respiratory infections,19.69
Brunei Darussalam,BRN,"Trachea, bronchus, lung cancers",19.71
Poland,POL,Ischaemic heart disease,191232
Türkiye,TUR,Ischaemic heart disease,191347
Mozambique,MOZ,Lower respiratory infections,191615
Nicaragua,NIC,"Trachea, bronchus, lung cancers",191.2
Madagascar,MDG,"Trachea, bronchus, lung cancers",191.7
Benin,BEN,Chronic obstructive pulmonary disease,1913
Tajikistan,TJK,"Trachea, bronchus, lung cancers",1917
Kiribati,KIR,Lower respiratory infections,192
Malta,MLT,Stroke,192.2
Austria,AUT,"Trachea, bronchus, lung cancers",1926
Yemen,YEM,Ischaemic heart disease,193857
Comoros,COM,Lower respiratory infections,1934
Israel,ISR,Lower respiratory infections,1937
Portugal,PRT,"Trachea, bronchus, lung cancers",1939
Trinidad and Tobago,TTO,Chronic obstructive pulmonary disease,194.1
Saint Vincent and the Grenadines,VCT,Ischaemic heart disease,194.2
Comoros,COM,Chronic obstructive pulmonary disease,194.4
Trinidad and Tobago,TTO,"Trachea, bronchus, lung cancers",194.5
Bulgaria,BGR,Lower respiratory infections,1944
Switzerland,CHE,Lower respiratory infections,1946
Syrian Arab Republic,SYR,Chronic obstructive pulmonary disease,1954
Switzerland,CHE,Stroke,1954
Malawi,MWI,"Trachea, bronchus, lung cancers",196
Japan,JPN,Ischaemic heart disease,196658
Ghana,GHA,Lower respiratory infections,196668
Mauritania,MRT,Stroke,1960
Democratic People's Republic of Korea,PRK,Stroke,197779
Yemen,YEM,Lower respiratory infections,197921
Estonia,EST,"Trachea, bronchus, lung cancers",197.8
Israel,ISR,Stroke,1970
Bolivia (Plurinational State of),BOL,"Trachea, bronchus, lung cancers",1974
Cabo Verde,CPV,Ischaemic heart disease,1976
Central African Republic,CAF,Chronic obstructive pulmonary disease,1977
Romania,ROU,Ischaemic heart disease,198178
Bahrain,BHR,Chronic obstructive pulmonary disease,198.3
Cameroon,CMR,"Trachea, bronchus, lung cancers",1986
United Republic of Tanzania,TZA,Lower respiratory infections,199284
Algeria,DZA,Ischaemic heart disease,199509
Ethiopia,ETH,Lower respiratory infections,199605
Jamaica,JAM,"Trachea, bronchus, lung cancers",199.1
Denmark,DNK,Stroke,1995
Bhutan,BTN,Ischaemic heart disease,1998
Eritrea,ERI,Chronic obstructive pulmonary disease,1998
Sierra Leone,SLE,Chronic obstructive pulmonary disease,1998
Timor-Leste,TLS,Ischaemic heart disease,1999
India,IND,Lower respiratory infections,2144496
India,IND,Lower respiratory infections,2166102
Nigeria,NGA,Lower respiratory infections,2183306
India,IND,Chronic obstructive pulmonary disease,2271742
China,CHN,Stroke,2543286
China,CHN,"Trachea, bronchus, lung cancers",2610697
China,CHN,Chronic obstructive pulmonary disease,2903262
China,CHN,Ischaemic heart disease,2974933
Kiribati,KIR,"Trachea, bronchus, lung cancers",2.05
Comoros,COM,"Trachea, bronchus, lung cancers",2.22
Comoros,COM,"Trachea, bronchus, lung cancers",2.22
Bahamas,BHS,"Trachea, bronchus, lung cancers",2.69
Vanuatu,VUT,"Trachea, bronchus, lung cancers",2.77
Angola,AGO,Stroke,20006
Latvia,LVA,Ischaemic heart disease,20096
United Republic of Tanzania,TZA,Stroke,20177
Sweden,SWE,Ischaemic heart disease,20203
Burkina Faso,BFA,Ischaemic heart disease,20293
Kuwait,KWT,Ischaemic heart disease,20293
Ecuador,ECU,Lower respiratory infections,20316
Kenya,KEN,Stroke,20335
Singapore,SGP,Ischaemic heart disease,20354
El Salvador,SLV,Ischaemic heart disease,20401
Turkmenistan,TKM,Ischaemic heart disease,20488
Libya,LBY,Ischaemic heart disease,20534
Angola,AGO,Ischaemic heart disease,20608
Ethiopia,ETH,Chronic obstructive pulmonary disease,20611
Greece,GRC,Ischaemic heart disease,20689
Liberia,LBR,Lower respiratory infections,20759
United Kingdom of Great Britain and Northern Ireland,GBR,Stroke,20796
Mongolia,MNG,Ischaemic heart disease,20812
Madagascar,MDG,Ischaemic heart disease,20875
Burundi,BDI,Ischaemic heart disease,20879
Ecuador,ECU,Ischaemic heart disease,20930
Nepal,NPL,Stroke,20967
Thailand,THA,"Trachea, bronchus, lung cancers",20976
Iceland,ISL,"Trachea, bronchus, lung cancers",20.02
Belize,BLZ,Chronic obstructive pulmonary disease,20.21
Mauritania,MRT,"Trachea, bronchus, lung cancers",200
Nigeria,NGA,Ischaemic heart disease,200245
Finland,FIN,"Trachea, bronchus, lung cancers",200.6
Denmark,DNK,Stroke,2000
Kyrgyzstan,KGZ,"Trachea, bronchus, lung cancers",2007
Mauritius,MUS,"Trachea, bronchus, lung cancers",201.4
Russian Federation,RUS,Stroke,202056
Thailand,THA,Ischaemic heart disease,202407
Vanuatu,VUT,Lower respiratory infections,202.3
Suriname,SUR,Lower respiratory infections,202.3
Haiti,HTI,"Trachea, bronchus, lung cancers",202.4
Singapore,SGP,"Trachea, bronchus, lung cancers",2021
Indonesia,IDN,Chronic obstructive pulmonary disease,203836
Papua New Guinea,PNG,"Trachea, bronchus, lung cancers",203.2
Eswatini,SWZ,Stroke,2036
Guatemala,GTM,Chronic obstructive pulmonary disease,2038
Estonia,EST,Lower respiratory infections,204.3
Croatia,HRV,Lower respiratory infections,2046
Montenegro,MNE,Stroke,2047
Chad,TCD,"Trachea, bronchus, lung cancers",205
Vanuatu,VUT,Stroke,205.2
Azerbaijan,AZE,Chronic obstructive pulmonary disease,2053
Bosnia and Herzegovina,BIH,Chronic obstructive pulmonary disease,2056
Sao Tome and Principe,STP,Stroke,206
Indonesia,IDN,Lower respiratory infections,206502
Guyana,GUY,Chronic obstructive pulmonary disease,206.8
Croatia,HRV,Chronic obstructive pulmonary disease,2064
Brazil,BRA,Lower respiratory infections,207727
Luxembourg,LUX,"Trachea, bronchus, lung cancers",207.2
Iraq,IRQ,Ischaemic heart disease,208243
Sudan,SDN,Ischaemic heart disease,208771
Brazil,BRA,Stroke,208845
Djibouti,DJI,Ischaemic heart disease,2081
Kazakhstan,KAZ,"Trachea, bronchus, lung cancers",2083
Lebanon,LBN,Stroke,2090
Libya,LBY,"Trachea, bronchus, lung cancers",2091
Kenya,KEN,Ischaemic heart disease,21045
Guatemala,GTM,Ischaemic heart disease,21058
Argentina,ARG,Stroke,21119
Colombia,COL,Chronic obstructive pulmonary disease,21240
Mongolia,MNG,Stroke,21369
Senegal,SEN,Stroke,21402
Iran (Islamic Republic of),IRN,"Trachea, bronchus, lung cancers",21577
Benin,BEN,Stroke,21613
Georgia,GEO,Ischaemic heart disease,21747
Kuwait,KWT,Ischaemic heart disease,21941
Bolivia (Plurinational State of),BOL,Ischaemic heart disease,21954
Fiji,FJI,"Trachea, bronchus, lung cancers",21.06
Antigua and Barbuda,ATG,Chronic obstructive pulmonary disease,21.41
Timor-Leste,TLS,"Trachea, bronchus, lung cancers",210.6
Oman,OMN,Lower respiratory infections,2101
Egypt,EGY,Stroke,211255
Liberia,LBR,"Trachea, bronchus, lung cancers",211.5
Zambia,ZMB,"Trachea, bronchus, lung cancers",211.6
Samoa,WSM,Stroke,211.8
Lebanon,LBN,Stroke,2112
Afghanistan,AFG,"Trachea, bronchus, lung cancers",2113
Djibouti,DJI,Stroke,2114
Haiti,HTI,Chronic obstructive pulmonary disease,2118
Viet Nam,VNM,Ischaemic heart disease,212327
Greece,GRC,"Trachea, bronchus, lung cancers",2121
Libya,LBY,"Trachea, bronchus, lung cancers",213
Micronesia (Federated States of),FSM,Stroke,213.2
United Arab Emirates,ARE,"Trachea, bronchus, lung cancers",213.7
Somalia,SOM,"Trachea, bronchus, lung cancers",213.8
Estonia,EST,Ischaemic heart disease,2132
Uzbekistan,UZB,Ischaemic heart disease,214324
Antigua and Barbuda,ATG,Ischaemic heart disease,214.5
Guatemala,GTM,Chronic obstructive pulmonary disease,2140
Bahamas,BHS,Ischaemic heart disease,215.1
Zambia,ZMB,"Trachea, bronchus, lung cancers",215.4
Equatorial Guinea,GNQ,Chronic obstructive pulmonary disease,215.9
Iraq,IRQ,Chronic obstructive pulmonary disease,2151
Panama,PAN,"Trachea, bronchus, lung cancers",216.4
Nicaragua,NIC,Stroke,2160
Italy,ITA,Ischaemic heart disease,217321
Brazil,BRA,Ischaemic heart disease,217414
Gabon,GAB,Chronic obstructive pulmonary disease,217.1
Kiribati,KIR,Ischaemic heart disease,217.3
Mali,MLI,Lower respiratory infections,218110
Niger,NER,"Trachea, bronchus, lung cancers",218.5
Equatorial Guinea,GNQ,Ischaemic heart disease,2180
Mauritius,MUS,Ischaemic heart disease,2188
Malta,MLT,Ischaemic heart disease,2188
Jamaica,JAM,Stroke,2189
United Republic of Tanzania,TZA,"Trachea, bronchus, lung cancers",219.4
Ecuador,ECU,Chronic obstructive pulmonary disease,2192
Cambodia,KHM,"Trachea, bronchus, lung cancers",2197
Central African Republic,CAF,Lower respiratory infections,22054
Poland,POL,Lower respiratory infections,22058
Italy,ITA,Chronic obstructive pulmonary disease,22076
Tunisia,TUN,Stroke,22082
Eritrea,ERI,Lower respiratory infections,22100
Somalia,SOM,Stroke,22105
Albania,ALB,Ischaemic heart disease,22158
Democratic People's Republic of Korea,PRK,Lower respiratory infections,22389
United Republic of Tanzania,TZA,Stroke,22389
Armenia,ARM,Ischaemic heart disease,22391
Peru,PER,Ischaemic heart disease,22447
Haiti,HTI,Stroke,22457
Malawi,MWI,Ischaemic heart disease,22608
Portugal,PRT,Ischaemic heart disease,22627
Zambia,ZMB,Ischaemic heart disease,22695
Kazakhstan,KAZ,Chronic obstructive pulmonary disease,22697
South Africa,ZAF,Chronic obstructive pulmonary disease,22698
Mozambique,MOZ,Ischaemic heart disease,22732
Somalia,SOM,Ischaemic heart disease,22779
Cambodia,KHM,Lower respiratory infections,22856
Côte d’Ivoire,CIV,Ischaemic heart disease,22894
France,FRA,Lower respiratory infections,22943
Türkiye,TUR,Chronic obstructive pulmonary disease,22958
Syrian Arab Republic,SYR,Stroke,22984
Grenada,GRD,Chronic obstructive pulmonary disease,22.37
Belize,BLZ,Stroke,220.1
Djibouti,DJI,Lower respiratory infections,2200
Oman,OMN,Stroke,2203
Slovakia,SVK,Lower respiratory infections,2205
Belize,BLZ,Ischaemic heart disease,221.7
Solomon Islands,SLB,Ischaemic heart disease,2214
Nicaragua,NIC,Stroke,2217
Micronesia (Federated States of),FSM,Ischaemic heart disease,222.5
Zimbabwe,ZWE,"Trachea, bronchus, lung cancers",222.9
Sweden,SWE,Chronic obstructive pulmonary disease,2222
Finland,FIN,Stroke,2225
The former Yugoslav Republic of Macedonia,MKD,Chronic obstructive pulmonary disease,2225
Saudi Arabia,SAU,Ischaemic heart disease,223471
Grenada,GRD,Ischaemic heart disease,223.9
Montenegro,MNE,Ischaemic heart disease,2233
Philippines,PHL,Ischaemic heart disease,224860
Zimbabwe,ZWE,"Trachea, bronchus, lung cancers",224.2
Eswatini,SWZ,Lower respiratory infections,2247
Dominican Republic,DOM,Lower respiratory infections,2251
Libya,LBY,Chronic obstructive pulmonary disease,2252
Belgium,BEL,"Trachea, bronchus, lung cancers",2257
Djibouti,DJI,Chronic obstructive pulmonary disease,226.3
Latvia,LVA,"Trachea, bronchus, lung cancers",226.5
Somalia,SOM,"Trachea, bronchus, lung cancers",226.6
Hungary,HUN,Lower respiratory infections,2275
Zambia,ZMB,Chronic obstructive pulmonary disease,2278
Finland,FIN,Chronic obstructive pulmonary disease,228.3
Georgia,GEO,"Trachea, bronchus, lung cancers",2288
Burkina Faso,BFA,Lower respiratory infections,229444
Bangladesh,BGD,Stroke,229884
South Sudan,SSD,"Trachea, bronchus, lung cancers",229.6
South Sudan,SSD,Chronic obstructive pulmonary disease,2293
Zambia,ZMB,Stroke,23021
Austria,AUT,Ischaemic heart disease,23087
Haiti,HTI,Ischaemic heart disease,23131
Zimbabwe,ZWE,Lower respiratory infections,23140
Dominican Republic,DOM,Ischaemic heart disease,23270
Ukraine,UKR,Lower respiratory infections,23335
Ukraine,UKR,"Trachea, bronchus, lung cancers",23561
Jordan,JOR,Ischaemic heart disease,23604
Kyrgyzstan,KGZ,Ischaemic heart disease,23633
Peru,PER,Stroke,23668
Malawi,MWI,Lower respiratory infections,23738
Niger,NER,Ischaemic heart disease,23743
Sri Lanka,LKA,Chronic obstructive pulmonary disease,23834
United Kingdom of Great Britain and Northern Ireland,GBR,Lower respiratory infections,23851
Mali,MLI,Stroke,23860
United Kingdom of Great Britain and Northern Ireland,GBR,Lower respiratory infections,23945
Uganda,UGA,Stroke,23960
Viet Nam,VNM,Chronic obstructive pulmonary disease,23982
Mexico,MEX,Chronic obstructive pulmonary disease,23993
Djibouti,DJI,"Trachea, bronchus, lung cancers",23.47
Saint Vincent and the Grenadines,VCT,Chronic obstructive pulmonary disease,23.54
Barbados,BRB,"Trachea, bronchus, lung cancers",23.55
Brunei Darussalam,BRN,Chronic obstructive pulmonary disease,23.67
Sao Tome and Principe,STP,"Trachea, bronchus, lung cancers",23.69
Zimbabwe,ZWE,Chronic obstructive pulmonary disease,2302
Austria,AUT,Lower respiratory infections,2303
Germany,DEU,Ischaemic heart disease,231916
Montenegro,MNE,Stroke,2321
Comoros,COM,Lower respiratory infections,2322
Barbados,BRB,Stroke,233.2
Burkina Faso,BFA,Chronic obstructive pulmonary disease,2332
Barbados,BRB,Stroke,234.8
Australia,AUS,Lower respiratory infections,2345
Philippines,PHL,Lower respiratory infections,235392
Malta,MLT,"Trachea, bronchus, lung cancers",235.9
New Zealand,NZL,Stroke,2355
Israel,ISR,Stroke,2361
Uganda,UGA,Lower respiratory infections,237315
Philippines,PHL,Stroke,238742
Slovenia,SVN,Lower respiratory infections,238.7
Malawi,MWI,Chronic obstructive pulmonary disease,2381
Slovakia,SVK,Chronic obstructive pulmonary disease,2381
Denmark,DNK,Chronic obstructive pulmonary disease,2384
Australia,AUS,Lower respiratory infections,2391
Suriname,SUR,Ischaemic heart disease,2396
Democratic People's Republic of Korea,PRK,Lower respiratory infections,24072
Lesotho,LSO,Lower respiratory infections,24077
Philippines,PHL,Chronic obstructive pulmonary disease,24098
Haiti,HTI,Ischaemic heart disease,24115
Sri Lanka,LKA,Lower respiratory infections,24125
Madagascar,MDG,Stroke,24143
Russian Federation,RUS,Lower respiratory infections,24153
Algeria,DZA,Stroke,24285
Germany,DEU,Chronic obstructive pulmonary disease,24481
Sierra Leone,SLE,Ischaemic heart disease,24550
Egypt,EGY,"Trachea, bronchus, lung cancers",24560
Republic of Moldova,MDA,Ischaemic heart disease,24600
Myanmar,MMR,"Trachea, bronchus, lung cancers",24704
Italy,ITA,Lower respiratory infections,24740
Venezuela (Bolivarian Republic of),VEN,Stroke,24764
Algeria,DZA,Lower respiratory infections,24773
Canada,CAN,Ischaemic heart disease,24787
Netherlands,NLD,Ischaemic heart disease,24799
Guinea,GIN,Stroke,24895
Sudan,SDN,Stroke,24978
Iceland,ISL,Chronic obstructive pulmonary disease,24.67
Micronesia (Federated States of),FSM,Chronic obstructive pulmonary disease,24.81
Brunei Darussalam,BRN,Ischaemic heart disease,240.3
Mozambique,MOZ,Chronic obstructive pulmonary disease,2405
Georgia,GEO,Lower respiratory infections,2407
Luxembourg,LUX,Chronic obstructive pulmonary disease,241.8
Cyprus,CYP,Ischaemic heart disease,2412
Myanmar,MMR,Stroke,243190
Albania,ALB,"Trachea, bronchus, lung cancers",243.3
Trinidad and Tobago,TTO,"Trachea, bronchus, lung cancers",243.6
Lebanon,LBN,Chronic obstructive pulmonary disease,2432
Armenia,ARM,Chronic obstructive pulmonary disease,2432
Jamaica,JAM,Stroke,2437
Togo,TGO,"Trachea, bronchus, lung cancers",244.4
Mongolia,MNG,"Trachea, bronchus, lung cancers",244.7
Panama,PAN,Lower respiratory infections,2456
Viet Nam,VNM,Stroke,246622
Finland,FIN,Lower respiratory infections,246.6
Nicaragua,NIC,Chronic obstructive pulmonary disease,2466
Paraguay,PRY,Stroke,2479
Belize,BLZ,Lower respiratory infections,248.1
Sao Tome and Principe,STP,Ischaemic heart disease,248.5
Portugal,PRT,Lower respiratory infections,2480
Yemen,YEM,"Trachea, bronchus, lung cancers",2481
Togo,TGO,Chronic obstructive pulmonary disease,2485
Afghanistan,AFG,Lower respiratory infections,249535
Timor-Leste,TLS,Stroke,2490
Rwanda,RWA,Chronic obstructive pulmonary disease,2491
Denmark,DNK,Chronic obstructive pulmonary disease,2496
Congo,COG,Lower respiratory infections,25042
Türkiye,TUR,Lower respiratory infections,25274
Chad,TCD,Stroke,25360
Democratic Republic of the Congo,COD,Chronic obstructive pulmonary disease,25489
